SPECTRUM - MS	
nESI_cells biocond sample 1.raw	
FTMS + p NSI Full ms [50.00-1000.00]	
Scan #: 12-49	
RT: 0.11-0.25	
AV: 38	
Data points: 115829	
Mass	Intensity
50.000003	0
50.000078	0
50.000154	0
50.000229	0
50.019141	0
50.019217	0
50.019292	0
50.019368	0
50.019444	349.202634
50.019519	494.35974
50.019595	577.93069
50.019671	561.864276
50.019746	447.382553
50.019822	275.763299
50.019898	4.454701
50.019973	0
50.020049	0
50.020125	0
50.0202	0
50.02353	0
50.023606	0
50.023681	0
50.023757	0
50.023833	306.76458
50.023908	494.829972
50.023984	593.642599
50.02406	538.436369
50.024135	364.660638
50.024211	0.766363
50.024287	0
50.024363	0
50.024438	0
50.024514	0
50.038518	0
50.038593	0
50.038669	0
50.038745	0
50.03882	253.585908
50.038896	436.450359
50.038972	498.613125
50.039048	410.174926
50.039123	257.431374
50.039199	0.824614
50.039275	0
50.03935	0
50.039426	0
50.039502	0
50.061239	0
50.061315	0
50.06139	0
50.061466	0
50.061542	306.772411
50.061618	470.011187
50.061693	578.925845
50.061769	547.463112
50.061845	372.776182
50.061921	3.605909
50.061997	0
50.062072	0
50.062148	0
50.062224	0
50.084431	0
50.084506	0
50.084582	0
50.084658	0
50.084734	309.68446
50.08481	461.173286
50.084885	532.96683
50.084961	480.934319
50.085037	333.009431
50.085113	0.719393
50.085189	0
50.085265	0
50.08534	0
50.085416	0
50.111432	0
50.111508	0
50.111584	0
50.11166	0
50.111736	316.663766
50.111811	488.130125
50.111887	557.779115
50.111963	473.977623
50.112039	288.381873
50.112115	2.84146
50.112191	0
50.112267	0
50.112343	0
50.112418	0
50.11295	0
50.113025	0
50.113101	0
50.113177	0
50.113253	347.475746
50.113329	518.900081
50.113405	576.757469
50.113481	508.74038
50.113557	369.296615
50.113633	2.672122
50.113708	0
50.113784	0
50.11386	0
50.113936	0
50.128888	0
50.128964	0
50.12904	0
50.129116	0
50.129192	259.463758
50.129268	462.448458
50.129344	578.443896
50.12942	521.275036
50.129496	329.088581
50.129572	5.363285
50.129648	0
50.129723	0
50.129799	0
50.129875	0
50.130635	0
50.13071	0
50.130786	0
50.130862	0
50.130938	296.068099
50.131014	978.901994
50.13109	1583.817606
50.131166	1658.426145
50.131242	1243.778198
50.131318	761.67685
50.131394	18.085758
50.13147	0
50.131546	0
50.131622	0
50.131697	0
50.162157	0
50.162233	0
50.162309	0
50.162385	0
50.162461	232.357331
50.162537	448.187903
50.162613	585.109015
50.162689	548.962494
50.162765	374.417583
50.162841	3.081081
50.162917	0
50.162993	0
50.163069	0
50.163145	0
50.177587	0
50.177663	0
50.177739	0
50.177815	0
50.177891	306.283371
50.177967	459.869101
50.178043	525.575572
50.178119	463.199406
50.178195	318.673103
50.178271	5.306477
50.178347	0
50.178423	0
50.178499	0
50.178575	0
50.18078	0
50.180856	0
50.180932	0
50.181008	0
50.181084	310.642453
50.18116	489.517259
50.181236	611.709131
50.181312	607.029982
50.181388	477.886968
50.181464	6.718714
50.18154	0
50.181616	0
50.181692	0
50.181768	0
50.19348	0
50.193556	0
50.193632	0
50.193708	0
50.193784	256.110184
50.193861	469.482899
50.193937	642.415562
50.194013	641.374672
50.194089	450.827964
50.194165	2.307305
50.194241	0
50.194317	0
50.194393	0
50.194469	0
50.231305	0
50.231381	0
50.231458	0
50.231534	0
50.23161	441.308454
50.231686	598.547952
50.231762	645.426539
50.231838	550.929046
50.231915	363.956291
50.231991	5.976092
50.232067	0
50.232143	0
50.232219	0
50.232295	0
50.23915	0
50.239226	0
50.239302	0
50.239378	0
50.239454	411.746145
50.239531	607.61165
50.239607	630.348554
50.239683	476.702811
50.239759	256.457696
50.239835	3.768901
50.239911	0
50.239988	0
50.240064	0
50.24014	0
50.248596	0
50.248672	0
50.248748	0
50.248824	0
50.248901	293.342462
50.248977	480.610348
50.249053	583.876084
50.249129	551.861139
50.249205	410.917042
50.249282	6.762655
50.249358	0
50.249434	0
50.24951	0
50.249586	0
50.253548	0
50.253625	0
50.253701	0
50.253777	0
50.253853	300.265074
50.253929	433.070908
50.254006	492.00736
50.254082	438.968194
50.254158	306.475988
50.254234	1.697269
50.25431	0
50.254387	0
50.254463	378.139553
50.254539	512.076583
50.254615	538.388869
50.254691	441.585771
50.254768	276.248221
50.254844	7.481504
50.25492	0
50.254996	0
50.255073	0
50.255149	0
50.269249	0
50.269326	0
50.269402	0
50.269478	0
50.269554	357.385263
50.269631	534.574854
50.269707	629.313568
50.269783	612.489984
50.269859	501.975822
50.269936	344.406823
50.270012	10.389649
50.270088	0
50.270164	0
50.270241	0
50.270317	0
50.322352	0
