SPECTRUM - MS	
nESI_cells ctrl sample 3.raw	
FTMS + p NSI Full ms [50.00-1000.00]	
Scan #: 77-103	
RT: 0.45-0.55	
AV: 27	
Data points: 98715	
Mass	Intensity
50.000003	0
50.000078	0
50.000154	0
50.000229	0
50.006431	0
50.006507	0
50.006582	0
50.006658	0
50.006734	349.948217
50.006809	508.693819
50.006885	558.08407
50.006961	449.014431
50.007036	238.760423
50.007112	3.92142
50.007188	0
50.007263	0
50.007339	0
50.007415	0
50.026482	0
50.026557	0
50.026633	0
50.026709	0
50.026784	429.243329
50.02686	658.075451
50.026936	767.901861
50.027011	671.029675
50.027087	424.708064
50.027163	4.147226
50.027238	0
50.027314	0
50.02739	0
50.027465	0
50.045332	0
50.045408	0
50.045484	0
50.04556	0
50.045635	319.534403
50.045711	438.063976
50.045787	478.357994
50.045862	410.429417
50.045938	262.769274
50.046014	2.353642
50.04609	0
50.046165	0
50.046241	0
50.046317	0
50.065406	0
50.065482	0
50.065558	0
50.065633	0
50.065709	382.055042
50.065785	506.021875
50.065861	525.430712
50.065937	423.644585
50.066012	253.370517
50.066088	1.189822
50.066164	0
50.06624	0
50.066315	0
50.066391	0
50.170897	0
50.170973	0
50.171049	0
50.171125	0
50.171201	384.517318
50.171277	509.721855
50.171353	548.516171
50.171429	472.088067
50.171505	314.959439
50.171581	2.037657
50.171657	0
50.171733	0
50.171809	0
50.171885	0
50.185114	0
50.18519	0
50.185266	0
50.185342	0
50.185418	300.842293
50.185494	483.685791
50.18557	521.722018
50.185647	407.723838
50.185723	234.316447
50.185799	3.943483
50.185875	0
50.185951	0
50.186027	0
50.186103	0
50.207098	0
50.207174	0
50.207251	0
50.207327	0
50.207403	232.558099
50.207479	346.468838
50.207555	424.875761
50.207631	420.682875
50.207707	331.06398
50.207783	5.311967
50.207859	0
50.207935	0
50.208012	0
50.208088	0
50.212578	0
50.212654	0
50.21273	0
50.212806	0
50.212882	245.08354
50.212958	419.271119
50.213034	521.382672
50.21311	500.084694
50.213187	376.015453
50.213263	2.906318
50.213339	0
50.213415	0
50.213491	0
50.213567	0
50.232448	0
50.232524	0
50.2326	0
50.232676	0
50.232752	322.511229
50.232828	458.671764
50.232904	493.837104
50.232981	409.809113
50.233057	263.179405
50.233133	2.908352
50.233209	0
50.233285	0
50.233361	0
50.233438	0
50.244253	0
50.244329	0
50.244406	0
50.244482	0
50.244558	210.95474
50.244634	348.811666
50.24471	426.253328
50.244787	396.293846
50.244863	281.710887
50.244939	5.103403
50.245015	0
50.245091	0
50.245167	0
50.245244	0
50.26338	0
50.263456	0
50.263532	0
50.263608	0
50.263685	213.308459
50.263761	355.730772
50.263837	410.622705
50.263913	342.66044
50.26399	202.636056
50.264066	3.445267
50.264142	0
50.264218	0
50.264294	0
50.264371	0
50.281144	0
50.281221	0
50.281297	0
50.281373	0
50.281449	315.047054
50.281526	491.175145
50.281602	555.378596
50.281678	464.762509
50.281754	279.519847
50.281831	293.445931
50.281907	507.931004
50.281983	645.763527
50.28206	616.515403
50.282136	444.381907
50.282212	7.594945
50.282288	0
50.282365	0
50.282441	0
50.282517	0
50.296019	0
50.296095	0
50.296172	0
50.296248	0
50.296324	278.55713
50.2964	418.960756
50.296477	460.6546
50.296553	384.530373
50.296629	247.036989
50.296706	4.225931
50.296782	0
50.296858	0
50.296935	0
50.297011	0
50.311663	0
50.31174	0
50.311816	0
50.311892	0
50.311969	338.94918
50.312045	488.026859
50.312121	546.282163
50.312198	485.491835
50.312274	330.26453
50.31235	9.026321
50.312427	0
50.312503	0
50.312579	0
50.312656	0
50.317389	0
50.317465	0
50.317542	0
50.317618	0
50.317694	430.315227
50.317771	594.854307
50.317847	635.092427
50.317923	527.939859
50.318	350.347618
50.318076	4.134772
50.318152	0
50.318229	0
50.318305	0
50.318381	0
50.327239	0
50.327315	0
50.327392	0
50.327468	0
50.327544	433.126134
50.327621	592.47095
50.327697	612.702527
50.327774	502.112709
50.32785	346.466637
50.327926	20.280022
50.328003	0
50.328079	0
50.328155	0
50.328232	0
50.333731	0
50.333807	0
50.333884	0
50.33396	0
50.334036	133.897236
50.334113	652.39371
50.334189	676.37033
50.334266	563.870984
50.334342	381.186353
50.334418	6.555164
50.334495	0
50.334571	0
50.334647	254.355915
50.334724	425.812181
50.3348	556.208926
50.334877	556.76448
50.334953	424.847821
50.335029	238.822089
50.335106	2.085145
50.335182	0
50.335259	0
50.335335	0
50.335411	0
50.337168	0
50.337245	0
50.337321	0
50.337397	0
50.337474	378.10951
50.33755	583.713477
50.337627	654.059213
50.337703	528.318637
50.337779	291.898597
50.337856	3.700013
50.337932	0
50.338009	0
50.338085	0
50.338161	0
50.341828	0
50.341905	0
50.341981	0
